"","term","gene"
"1","HALLMARK_APOPTOSIS","Add1"
"2","HALLMARK_APOPTOSIS","Aifm3"
"3","HALLMARK_APOPTOSIS","Ank"
"4","HALLMARK_APOPTOSIS","Anxa1"
"5","HALLMARK_APOPTOSIS","App"
"6","HALLMARK_APOPTOSIS","Atf3"
"7","HALLMARK_APOPTOSIS","Avpr1a"
"8","HALLMARK_APOPTOSIS","Bax"
"9","HALLMARK_APOPTOSIS","Bcap31"
"10","HALLMARK_APOPTOSIS","Bcl10"
"11","HALLMARK_APOPTOSIS","Bcl2l1"
"12","HALLMARK_APOPTOSIS","Bcl2l10"
"13","HALLMARK_APOPTOSIS","Bcl2l11"
"14","HALLMARK_APOPTOSIS","Bcl2l2"
"15","HALLMARK_APOPTOSIS","Bgn"
"16","HALLMARK_APOPTOSIS","Bid"
"17","HALLMARK_APOPTOSIS","Bik"
"18","HALLMARK_APOPTOSIS","Birc3"
"19","HALLMARK_APOPTOSIS","Bmf"
"20","HALLMARK_APOPTOSIS","Bmp2"
"21","HALLMARK_APOPTOSIS","Bnip3l"
"22","HALLMARK_APOPTOSIS","Brca1"
"23","HALLMARK_APOPTOSIS","Btg2"
"24","HALLMARK_APOPTOSIS","Btg3"
"25","HALLMARK_APOPTOSIS","Casp1"
"26","HALLMARK_APOPTOSIS","Casp2"
"27","HALLMARK_APOPTOSIS","Casp3"
"28","HALLMARK_APOPTOSIS","Casp4"
"29","HALLMARK_APOPTOSIS","Casp6"
"30","HALLMARK_APOPTOSIS","Casp7"
"31","HALLMARK_APOPTOSIS","Casp8"
"32","HALLMARK_APOPTOSIS","Casp9"
"33","HALLMARK_APOPTOSIS","Cav1"
"34","HALLMARK_APOPTOSIS","Ccna1"
"35","HALLMARK_APOPTOSIS","Ccnd1"
"36","HALLMARK_APOPTOSIS","Ccnd2"
"37","HALLMARK_APOPTOSIS","Cd14"
"38","HALLMARK_APOPTOSIS","Cd2"
"39","HALLMARK_APOPTOSIS","Cd38"
"40","HALLMARK_APOPTOSIS","Cd44"
"41","HALLMARK_APOPTOSIS","Cd69"
"42","HALLMARK_APOPTOSIS","Cdc25b"
"43","HALLMARK_APOPTOSIS","Cdk2"
"44","HALLMARK_APOPTOSIS","Cdkn1a"
"45","HALLMARK_APOPTOSIS","Cdkn1b"
"46","HALLMARK_APOPTOSIS","Cflar"
"47","HALLMARK_APOPTOSIS","Clu"
"48","HALLMARK_APOPTOSIS","Crebbp"
"49","HALLMARK_APOPTOSIS","Cth"
"50","HALLMARK_APOPTOSIS","Ctnnb1"
"51","HALLMARK_APOPTOSIS","Cyld"
"52","HALLMARK_APOPTOSIS","Dap"
"53","HALLMARK_APOPTOSIS","Dap3"
"54","HALLMARK_APOPTOSIS","Dcn"
"55","HALLMARK_APOPTOSIS","Ddit3"
"56","HALLMARK_APOPTOSIS","Dffa"
"57","HALLMARK_APOPTOSIS","Diablo"
"58","HALLMARK_APOPTOSIS","Dnaja1"
"59","HALLMARK_APOPTOSIS","Dnajc3"
"60","HALLMARK_APOPTOSIS","Dnm1l"
"61","HALLMARK_APOPTOSIS","Dpyd"
"62","HALLMARK_APOPTOSIS","Ebp"
"63","HALLMARK_APOPTOSIS","Egr3"
"64","HALLMARK_APOPTOSIS","Emp1"
"65","HALLMARK_APOPTOSIS","Eno2"
"66","HALLMARK_APOPTOSIS","Erbb2"
"67","HALLMARK_APOPTOSIS","Erbb3"
"68","HALLMARK_APOPTOSIS","Ereg"
"69","HALLMARK_APOPTOSIS","Etf1"
"70","HALLMARK_APOPTOSIS","F2"
"71","HALLMARK_APOPTOSIS","F2r"
"72","HALLMARK_APOPTOSIS","Fas"
"73","HALLMARK_APOPTOSIS","Fasl"
"74","HALLMARK_APOPTOSIS","Fdxr"
"75","HALLMARK_APOPTOSIS","Fez1"
"76","HALLMARK_APOPTOSIS","Gadd45a"
"77","HALLMARK_APOPTOSIS","Gadd45b"
"78","HALLMARK_APOPTOSIS","Gch1"
"79","HALLMARK_APOPTOSIS","Gna15"
"80","HALLMARK_APOPTOSIS","Gpx1"
"81","HALLMARK_APOPTOSIS","Gpx3"
"82","HALLMARK_APOPTOSIS","Gpx4"
