"","term","gene"
"1","GOBP_DNA_DAMAGE_RESPONSE","4930415L06Rik"
"2","GOBP_DNA_DAMAGE_RESPONSE","4930447C04Rik"
"3","GOBP_DNA_DAMAGE_RESPONSE","4932429P05Rik"
"4","GOBP_DNA_DAMAGE_RESPONSE","Abl1"
"5","GOBP_DNA_DAMAGE_RESPONSE","Abraxas1"
"6","GOBP_DNA_DAMAGE_RESPONSE","Acd"
"7","GOBP_DNA_DAMAGE_RESPONSE","Acer2"
"8","GOBP_DNA_DAMAGE_RESPONSE","Ackr3"
"9","GOBP_DNA_DAMAGE_RESPONSE","Actb"
"10","GOBP_DNA_DAMAGE_RESPONSE","Actl6a"
"11","GOBP_DNA_DAMAGE_RESPONSE","Actl6b"
"12","GOBP_DNA_DAMAGE_RESPONSE","Actr2"
"13","GOBP_DNA_DAMAGE_RESPONSE","Actr5"
"14","GOBP_DNA_DAMAGE_RESPONSE","Actr8"
"15","GOBP_DNA_DAMAGE_RESPONSE","Adprs"
"16","GOBP_DNA_DAMAGE_RESPONSE","Aen"
"17","GOBP_DNA_DAMAGE_RESPONSE","Aim2"
"18","GOBP_DNA_DAMAGE_RESPONSE","Akt1"
"19","GOBP_DNA_DAMAGE_RESPONSE","Alkbh1"
"20","GOBP_DNA_DAMAGE_RESPONSE","Alkbh2"
"21","GOBP_DNA_DAMAGE_RESPONSE","Alkbh3"
"22","GOBP_DNA_DAMAGE_RESPONSE","Alkbh7"
"23","GOBP_DNA_DAMAGE_RESPONSE","Alkbh8"
"24","GOBP_DNA_DAMAGE_RESPONSE","Ankle1"
"25","GOBP_DNA_DAMAGE_RESPONSE","Ankrd1"
"26","GOBP_DNA_DAMAGE_RESPONSE","Ap5s1"
"27","GOBP_DNA_DAMAGE_RESPONSE","Ap5z1"
"28","GOBP_DNA_DAMAGE_RESPONSE","Apbb1"
"29","GOBP_DNA_DAMAGE_RESPONSE","Apc"
"30","GOBP_DNA_DAMAGE_RESPONSE","Apex1"
"31","GOBP_DNA_DAMAGE_RESPONSE","Apex2"
"32","GOBP_DNA_DAMAGE_RESPONSE","Aplf"
"33","GOBP_DNA_DAMAGE_RESPONSE","Aptx"
"34","GOBP_DNA_DAMAGE_RESPONSE","Arid1a"
"35","GOBP_DNA_DAMAGE_RESPONSE","Arid1b"
"36","GOBP_DNA_DAMAGE_RESPONSE","Arid2"
"37","GOBP_DNA_DAMAGE_RESPONSE","Armt1"
"38","GOBP_DNA_DAMAGE_RESPONSE","Ascc1"
"39","GOBP_DNA_DAMAGE_RESPONSE","Ascc2"
"40","GOBP_DNA_DAMAGE_RESPONSE","Ascc3"
"41","GOBP_DNA_DAMAGE_RESPONSE","Asf1a"
"42","GOBP_DNA_DAMAGE_RESPONSE","Ash2l"
"43","GOBP_DNA_DAMAGE_RESPONSE","Atad5"
"44","GOBP_DNA_DAMAGE_RESPONSE","Atf2"
"45","GOBP_DNA_DAMAGE_RESPONSE","Atm"
"46","GOBP_DNA_DAMAGE_RESPONSE","Atmin"
"47","GOBP_DNA_DAMAGE_RESPONSE","Atr"
"48","GOBP_DNA_DAMAGE_RESPONSE","Atrip"
"49","GOBP_DNA_DAMAGE_RESPONSE","Atrx"
"50","GOBP_DNA_DAMAGE_RESPONSE","Atxn7"
