"","term","gene"
"1","WP_APOPTOSIS","Akt1"
"2","WP_APOPTOSIS","Apaf1"
"3","WP_APOPTOSIS","Bad"
"4","WP_APOPTOSIS","Bax"
"5","WP_APOPTOSIS","Bcl2"
"6","WP_APOPTOSIS","Bcl2l1"
"7","WP_APOPTOSIS","Bcl2l11"
"8","WP_APOPTOSIS","Bcl2l2"
"9","WP_APOPTOSIS","Bid"
"10","WP_APOPTOSIS","Birc2"
"11","WP_APOPTOSIS","Birc3"
"12","WP_APOPTOSIS","Birc5"
"13","WP_APOPTOSIS","Bnip3l"
"14","WP_APOPTOSIS","Bok"
"15","WP_APOPTOSIS","Casp1"
"16","WP_APOPTOSIS","Casp2"
"17","WP_APOPTOSIS","Casp3"
"18","WP_APOPTOSIS","Casp4"
"19","WP_APOPTOSIS","Casp6"
"20","WP_APOPTOSIS","Casp7"
"21","WP_APOPTOSIS","Casp8"
"22","WP_APOPTOSIS","Casp9"
"23","WP_APOPTOSIS","Cflar"
"24","WP_APOPTOSIS","Chuk"
"25","WP_APOPTOSIS","Cradd"
"26","WP_APOPTOSIS","Dffa"
"27","WP_APOPTOSIS","Dffb"
"28","WP_APOPTOSIS","Diablo"
"29","WP_APOPTOSIS","Fas"
"30","WP_APOPTOSIS","Fasl"
"31","WP_APOPTOSIS","Gzmc"
"32","WP_APOPTOSIS","Hells"
"33","WP_APOPTOSIS","Hrk"
"34","WP_APOPTOSIS","Igf1"
"35","WP_APOPTOSIS","Igf1r"
"36","WP_APOPTOSIS","Igf2"
"37","WP_APOPTOSIS","Ikbkb"
"38","WP_APOPTOSIS","Ikbkg"
"39","WP_APOPTOSIS","Irf1"
"40","WP_APOPTOSIS","Irf2"
"41","WP_APOPTOSIS","Irf3"
"42","WP_APOPTOSIS","Irf4"
"43","WP_APOPTOSIS","Irf5"
"44","WP_APOPTOSIS","Irf6"
"45","WP_APOPTOSIS","Irf7"
"46","WP_APOPTOSIS","Jun"
"47","WP_APOPTOSIS","Lta"
"48","WP_APOPTOSIS","Map2k4"
"49","WP_APOPTOSIS","Map3k1"
"50","WP_APOPTOSIS","Mapk10"
"51","WP_APOPTOSIS","Mcl1"
"52","WP_APOPTOSIS","Mdm2"
"53","WP_APOPTOSIS","Myc"
"54","WP_APOPTOSIS","Nfkb1"
"55","WP_APOPTOSIS","Nfkbia"
"56","WP_APOPTOSIS","Nfkbib"
"57","WP_APOPTOSIS","Nfkbie"
"58","WP_APOPTOSIS","Pik3r1"
"59","WP_APOPTOSIS","Pmaip1"
"60","WP_APOPTOSIS","Prf1"
"61","WP_APOPTOSIS","Rela"
"62","WP_APOPTOSIS","Ripk1"
"63","WP_APOPTOSIS","Scaf11"
"64","WP_APOPTOSIS","Tnf"
"65","WP_APOPTOSIS","Tnfrsf10b"
"66","WP_APOPTOSIS","Tnfrsf1a"
"67","WP_APOPTOSIS","Tnfrsf1b"
"68","WP_APOPTOSIS","Tnfrsf21"
"69","WP_APOPTOSIS","Tnfrsf25"
"70","WP_APOPTOSIS","Tnfsf10"
"71","WP_APOPTOSIS","Tradd"
"72","WP_APOPTOSIS","Traf1"
"73","WP_APOPTOSIS","Traf2"
"74","WP_APOPTOSIS","Traf3"
"75","WP_APOPTOSIS","Trp53"
"76","WP_APOPTOSIS","Trp63"
"77","WP_APOPTOSIS","Trp73"
"78","WP_APOPTOSIS","Xiap"
