"","condition1","condition2","condition3","condition4","condition5","condition6","condition7","condition8","condition9"
"Mrpl15",30.4442423295843,31.3642042265392,33.4767535816347,33.8012296763879,30.2784754210643,31.7977124154395,41.2094245193361,31.564885311383,28.7218612023974
"Lypla1",23.2925962145574,49.9181556405022,41.7952836757484,26.4412184764209,24.0168721332029,21.885327092087,21.2232992409158,29.7311300026559,19.0277790151892
"Tcea1",41.5699324256001,74.5512431355242,67.6232297395146,45.9394435136962,38.3657230070955,34.7727083336953,45.4273768358503,49.821738570337,36.4324014720818
"Rgs20",0.0143822025995517,0.0228483409976789,0.00874673021394526,0.0110902788789538,0,0.00786221576781207,0.0364456414095853,0.132995413358524,0.175064647568955
"Atp6v1h",11.7137221080935,19.7774784227251,17.8665041126796,12.9769290145376,14.0421813170837,12.048788525976,12.9928133734452,14.0941999768003,13.280473007087
"Rb1cc1",12.1344972802425,22.4555734308655,18.7522547411848,10.2272782383563,7.33604570408267,9.14600435470353,14.069403803262,21.721505316702,16.0220343651567
"Alkal1",0,0,0,0,0,0,0.0300822474503004,0,0
"St18",0.000883558978036428,0.00245642134391438,0.00125381268245711,0.00204396692466275,0.00109252314967341,0,0,0,0
"Pcmtd1",13.9236198908744,21.2296318316907,17.9937584446291,12.8767788051522,10.3482725092938,10.2175995087993,12.521477947091,16.267368448161,13.6877047102566
"Rrs1",155.584964249572,213.809012767155,161.297093740497,127.308479902619,112.239005462346,130.6415504822,185.11680886121,132.691034207276,148.339844551138
"Adhfe1",0.0329941870248137,0.0305761989286295,0.109247455714863,0.0763265709038785,0.0951939441045579,0.0210428121114659,0.0354708604066244,0.16272242999109,0.027031813600733
"2610203C22Rik",0,0,0,0.00724784969556613,0,0,0.0113678655207951,0.0217291823033309,0.0154013879824425
"Mybl1",0.332218337373267,1.93119473794819,2.21431026317761,0.489065778460624,0.261411120813239,0.471914525642618,0.698077542081886,1.61052334713461,0.56086239928013
"Vcpip1",37.2344287822577,59.6549562286156,46.8704035119532,27.9419035221904,22.3480138431097,26.1105160467633,46.9206252497185,56.0589159835046,46.4313578370507
"1700034P13Rik",0,0,0.0198467676547523,0.0107847414039239,0,0,0.0225537219278259,0,0.0229171400662123
"Sgk3",0.148595417488234,0.4043269673204,0.372376928327224,0.121897452007985,0.22283197940495,0.169376513990282,2.1260289006455,1.43841407046593,1.08791408920875
"Mcmdc2",0,0,0.014498942895722,0.00787873131185562,0,0,0.0329529857965802,0.0283446919323952,0.0669679437847827
"Snhg6",39.5792269561511,64.004979075167,52.1370700342522,52.2852400746191,51.6695362751093,77.9905052358292,78.7009164745252,64.8880702140642,64.4661721947898
"Snord87",44.6209223894586,74.4315584135874,37.9915408833282,44.7300064522716,5.51738954411417,106.717626355159,68.3577405330188,45.3881509052765,80.4264642980441
"Tcf24",0,0,0,0,0,0,0.0696222307785096,0,0
"Ppp1r42",0,0,0,0,0,0,0.0985692004802002,0.0829007322470804,0.0267086639428955
"Cops5",26.9805211545464,46.5087459025314,44.9557227999206,30.8131586312976,38.299472198258,31.4719409357836,50.2823662450494,41.1621476887809,36.5289063877688
"Cspp1",2.78426297187991,5.16043498412569,5.02076923079894,2.2141503846038,1.97616275966902,2.89757885060718,4.45477155898557,5.24848421341773,4.04342811955019
"Arfgef1",35.707147146961,50.8654234726343,44.914312589129,33.1501842291928,22.378463345334,22.3692094559071,32.8276060986512,46.24483380445,37.1260293981498
"Cpa6",0,0,0,0,0,0,0,0.00154512960767562,0.000684481019544724
"Sulf1",0,0,0,0,0,0,0.0110969071261032,0.00181810774921494,0
"Slco5a1",0.0450557208401738,0.198944576049673,0.0488924147841139,0.0449614974051277,0.0426029308384396,0.0583158300471899,0.36969423543564,0.151951143170478,0.282281310809468
"Prdm14",0.0240386448516303,0,0.0341119931247123,0.0370729411481127,0,0.0459936188135221,0.0969115501226779,0.111145336970881,0.196946257943799
"Ncoa2",8.00126537874989,8.65721665545553,7.89049731988418,6.23488050727657,4.36124051052973,4.74406329963857,6.94313362268859,9.72882309841134,9.06283451144203
"Tram1",101.331499561938,145.098938561777,144.072978247615,99.8456307206757,86.6990227078326,78.1380552574471,113.438793155305,133.768713360985,106.126876971429
"Lactb2",7.48924987461326,12.2009546778316,9.70699786279315,7.18754029846049,7.27861808162857,6.48927037625001,10.2078702608941,14.5302646529728,12.7172722657087
"Xkr9",0.0100201749668314,0,0,0,0,0.0191718006865092,0.00807924651767732,0,0
"Gm5523",9.01736873348416,6.63606665374152,8.65617169791493,10.4300923293712,7.21470697013484,13.4472780904396,11.7614036765752,5.15028744116829,13.0373677065833
