"","CND1_1","CND1_2","CND1_3","CND1_4","CND2_1","CND2_2","CND2_3","CND2_4","CTRL_1","CTRL_2","CTRL_3"
"Mrpl15",1155,428,895,914,975,1663,929,1261,1939,1295,1330
"Lypla1",2745,2116,3471,2796,3140,4041,2289,2696,3102,3789,2737
"Gm19860",23,18,33,33,34,21,3,36,36,50,33
"Tcea1",5063,3266,5804,4966,5566,7256,3779,4427,6862,6562,5416
"Rgs20",7,4,3,7,3,7,0,4,22,70,104
"Atp6v1h",2819,1712,3030,2764,2963,4050,2733,3031,3878,3668,3901
"Rb1cc1",2258,1503,2459,2365,2616,2468,1104,1779,3247,4371,3639
"Alkal1",0,0,0,0,0,0,0,0,4,0,0
"St18",1,1,1,0,0,3,1,0,0,0,0
"Pcmtd1",3572,1959,3253,3382,3807,4284,2147,2740,3984,4513,4286
"Rrs1",965,477,705,831,622,1024,563,847,1424,890,1123
"Adhfe1",3,1,7,2,1,9,7,2,4,16,3
"2610203C22Rik",0,0,0,1,1,2,0,0,3,5,4
"Mybl1",33,69,155,47,54,63,21,49,86,173,68
"Vcpip1",3356,1934,2977,3455,3144,3266,1629,2460,5245,5464,5108
"1700034P13Rik",0,0,1,2,0,1,0,0,2,0,2
"Sgk3",47,46,83,51,48,50,57,56,834,492,420
"Mcmdc2",0,0,1,1,0,1,0,0,4,3,8
"Snhg6",251,146,233,218,381,430,265,517,619,445,499
"Snord87",10,6,6,11,12,13,1,25,19,11,22
"Tcf24",0,0,0,0,0,0,0,0,2,0,0
"Ppp1r42",0,0,0,1,0,0,0,0,15,11,4
"Cops5",1108,687,1301,1050,1243,1641,1272,1351,2561,1828,1831
"Cspp1",831,554,1056,883,863,857,477,904,1649,1694,1473
"Arfgef1",10291,5273,9122,9798,10519,12390,5216,6739,11734,14413,13060
"Cpa6",0,0,0,0,0,0,0,0,0,2,1
"Sulf1",0,0,0,0,0,0,0,0,7,1,0
"Slco5a1",17,27,13,5,33,22,13,23,173,62,130
"Prdm14",1,0,1,0,4,2,0,2,5,5,10
"Ncoa2",5694,2216,3957,5367,4281,5754,2510,3529,6128,7487,7872
"Tram1",7739,3986,7754,7326,6777,9889,5355,6238,10745,11048,9893
"Lactb2",785,460,717,787,841,977,617,711,1327,1647,1627
"Xkr9",1,0,0,0,0,0,0,2,1,0,0
"Gm5523",34,9,23,25,22,51,22,53,55,21,60
"Eya1",1,0,0,0,0,0,0,0,49,5,0
"Msc",0,3,0,0,0,0,0,0,1,0,0
"Trpa1",0,0,0,0,0,0,0,0,4,1,0
"Terf1",1275,666,1320,1258,1471,1508,873,1400,1668,1704,1681
"Sbspon",12,12,28,18,5,13,1,7,25,23,40
"Gm7634",0,2,0,2,2,4,2,1,2,3,5
"Rpl7",34165,16562,28551,30856,31381,53042,44450,39373,69012,38230,44752
"Rdh10",324,147,274,365,306,340,209,314,462,273,259
"Stau2",18,6,13,14,20,19,10,25,24,29,10
"Ube2w",570,438,720,641,755,759,468,602,1121,886,839
"Eloc",1307,799,1354,1242,1603,2021,1216,1634,2304,1551,1438
"D030040B21Rik",1,0,0,0,0,0,8,0,0,0,0
"Tmem70",539,308,748,578,513,752,512,590,1157,927,865
"Ly96",35,17,41,43,29,57,33,33,133,97,137
"Jph1",0,0,0,0,0,0,0,0,3,0,0
"Pi15",0,3,0,0,0,0,0,4,1,0,0
"Crispld1",0,0,0,0,2,0,0,0,0,3,0
"Tfap2b",0,0,0,0,0,0,1,0,0,0,3
"Il17f",3,0,0,0,1,0,0,1,2,2,1
"Mcm3",3022,2062,4118,2725,2544,4118,2469,3731,4701,5242,4377
"6720483E21Rik",3,0,1,0,7,4,7,2,7,10,10
"Paqr8",432,250,320,419,425,554,320,400,630,807,758
"Efhc1",36,17,18,30,32,25,17,27,58,70,112
"Tram2",310,174,169,332,237,296,145,216,347,661,611
"Tmem14a",54,31,50,72,59,94,45,52,70,141,64
"Gsta3",3,1,0,3,3,2,0,2,13,6,4
"Gm4956",0,0,0,0,0,0,0,0,91,2,1
"Khdc1a",0,0,0,0,0,0,0,0,17,5,1
"Khdc1c",0,0,0,0,0,0,0,0,10,0,0
"Khdc1b",0,0,0,0,0,0,0,1,2,0,0
"Kcnq5",61,45,62,62,53,88,23,37,168,137,160
"Ogfrl1",530,455,666,753,567,787,569,442,2136,2809,2445
"Gm19673",2,1,13,3,3,6,4,2,6,3,22
"B3gat2",227,145,279,217,333,168,105,288,189,402,448
"Smap1",3183,1218,2404,2748,2782,4045,2659,2855,4019,5183,5238
"Sdhaf4",421,204,363,396,363,684,416,502,606,719,507
"Fam135a",1359,1099,1925,2284,2364,2279,935,1755,1424,5053,3983
"Col9a1",0,0,1,1,3,0,0,0,4,0,0
"Col19a1",1,0,0,2,0,0,4,0,3,0,0
"Lmbrd1",1664,925,1574,1727,1486,2061,1168,1519,3724,3470,2772
"4931408C20Rik",0,0,0,0,0,0,0,0,7,0,0
"Gm7846",84,26,70,57,95,143,60,132,171,99,70
"Phf3",7495,3516,5859,7046,6717,8037,3742,5512,9428,11626,11032
"Ptp4a1",4656,2769,6129,5555,5681,5274,2512,3714,7124,9353,10073
"Semp2l1",0,0,0,1,0,0,23,0,0,0,0
"Prim2",433,321,620,417,424,662,402,506,785,1014,940
"1700001G17Rik",39,7,30,22,24,22,17,40,23,47,89
"Rab23",440,250,436,424,424,456,269,405,981,1184,1592
"Bag2",71,42,104,51,58,153,100,94,320,245,255
"Zfp451",930,631,972,1050,1168,1210,638,862,1713,2332,2269
"Gm15455",51,11,22,40,33,75,22,48,117,37,83
"Bend6",358,219,342,403,382,481,265,342,411,800,806
"Dst",84,42,62,66,56,79,43,52,221,275,186
"Mir5103",5,0,0,0,1,0,0,0,3,1,0
"Ccdc115",815,294,522,626,622,973,612,772,1134,1058,1331
"Imp4",1706,524,1042,1498,1265,1996,1297,1496,2787,2648,3435
"D1Ertd448e",433,186,309,379,281,333,244,292,893,793,1072
"Ptpn18",1858,397,780,1460,1293,2452,1584,2181,2460,1233,1786
"Prss39",1,0,0,3,2,1,0,1,7,1,3
"Cfc1",0,0,0,0,0,0,0,0,1,3,4
"Arhgef4",674,229,474,638,510,681,453,660,854,961,1445
"Fam168b",11645,4656,8013,9696,9457,13120,7130,9107,13271,16694,16541
"Plekhb2",8949,3822,6332,7850,8269,11826,6731,8137,10236,12816,12508
"Hs6st1",760,241,392,725,682,1017,578,684,1582,1141,1665
"Uggt1",5244,2756,5144,5317,4560,6024,3156,4031,9704,11432,11260
"Neurl3",50,12,39,30,4,11,18,4,1694,298,219
"Arid5a",7906,1880,3636,6136,5461,6795,3401,6004,5570,8349,10923
"Kansl3",4293,1604,2963,3696,4201,4707,2599,4476,4567,5426,6610
"Lman2l",369,148,259,358,511,575,301,537,1094,710,702
"Cnnm4",452,204,368,467,367,403,259,408,738,983,1059
"Cnnm3",1121,403,771,967,785,1078,620,888,1673,1619,2275
"Ankrd23",624,202,420,575,541,440,281,724,960,1000,1745
"Ankrd39",545,279,397,529,581,600,269,650,760,1061,1458
"Sema4c",37,14,30,35,20,47,35,24,189,125,172
"Cox5b",2841,1049,1647,2470,2759,4641,2531,3991,4497,2753,4344
"Actr1b",2405,1129,2676,2583,1987,2765,1469,2425,2593,3107,3780
"4933424G06Rik",2,3,0,3,5,3,5,3,2,8,3
"Zap70",15714,4988,9378,12521,13024,16922,10531,16031,10118,13759,17759
"Tmem131",2366,1063,1906,1942,1951,2637,1152,1717,4259,4731,5205
"Vwa3b",0,1,1,3,3,1,4,0,18,12,17
"Inpp4a",1342,740,1075,1333,1328,1439,709,1379,2371,2906,2674
"Coa5",5323,2833,4448,4770,5202,7624,4085,4612,6545,8528,9448
"Unc50",976,390,778,886,929,1345,787,1066,1647,1800,1933
"Mgat4a",225,162,367,345,255,347,155,285,984,698,480
"4930594C11Rik",6,3,3,4,7,11,1,5,18,12,12
"Cracdl",33,5,16,39,45,62,33,42,39,41,95
"Tsga10",35,22,39,33,32,56,23,29,105,135,100
"Lipt1",58,26,68,92,48,79,59,62,209,190,220
"Mitd1",1094,622,1045,992,1132,1375,829,1166,1352,1711,1821
"Mrpl30",1711,548,1043,1418,1503,2603,1855,1946,2400,1994,2517
"Txndc9",1753,940,1680,1643,1571,2108,1449,1849,3067,3406,3783
"Eif5b",6953,4221,7188,6307,6294,7549,4797,6871,11174,9347,12110
"Rev1",548,307,489,476,527,556,358,483,853,1008,1280
"Aff3",280,81,146,373,102,229,228,116,3419,2776,5125
"Chst10",1185,491,826,1075,910,1324,799,874,1766,1605,2417
"Pdcl3",1804,1049,1750,1565,1786,2459,1684,1935,2545,2339,3029
"Npas2",15,7,8,21,7,42,6,9,44,301,176
"Rpl31",10237,3945,6695,8495,9677,16411,13472,14782,36558,15420,28104
"Tbc1d8",6,9,9,17,5,5,1,6,804,425,325
"Cnot11",1688,887,1390,1572,1326,1768,1106,1369,2597,2940,3369
"Snord89",9,4,34,17,21,12,13,26,17,30,28
"Rnf149",1193,675,1179,1246,1188,1329,637,1203,1767,1795,1805
"Creg2",0,0,0,1,0,0,0,0,2,2,4
"Map4k4",9065,4265,6437,8267,9074,10574,5303,8370,10567,13895,16817
"Gm16894",6,7,8,2,9,5,3,7,7,20,7
"Il1r2",9,14,12,13,15,20,21,4,148,237,226
"Il1r1",0,1,0,0,0,0,1,0,12,6,3
"Il1rl2",0,1,0,1,1,0,0,0,24,19,12
"Il1rl1",0,0,0,2,0,0,5,1,33,66,10
"Il18r1",108,87,62,98,36,49,27,42,513,186,375
"Il18rap",394,268,137,247,208,148,120,130,889,312,1710
"Slc9a4",0,0,0,0,0,0,0,0,0,0,0
"Slc9a2",0,1,1,0,0,0,0,0,6,5,1
"Mfsd9",83,47,74,100,73,123,53,88,163,193,236
"Tmem182",0,0,5,0,0,0,0,0,0,0,0
"2900092D14Rik",0,0,0,0,0,0,9,0,0,0,0
"Mrps9",1353,578,1157,1190,1138,1574,1085,1288,1961,1939,2530
"Gpr45",4,2,1,4,7,23,1,10,2,6,2
"Tgfbrap1",2104,724,1232,1851,1506,2046,1230,1584,2781,3733,4192
"Fhl2",275,243,372,307,194,354,238,380,203,302,318
"Gm8210",757,176,360,598,483,1154,499,913,1916,399,1104
"Nck2",1051,480,774,977,814,1240,641,993,1678,2144,2671
"Ecrg4",2,2,4,6,1,0,0,1,7,5,15
"Uxs1",474,259,573,407,400,554,377,614,503,631,665
"Tpp2",4957,3117,5528,5208,5275,5474,2518,3688,5878,10116,8874
"Mettl21c",5,4,4,5,4,1,0,1,10,6,24
"Tex30",247,168,298,250,223,285,192,230,644,636,649
"Poglut2",390,234,524,423,412,592,411,547,1052,961,1313
"Bivm",621,406,762,800,658,975,583,639,1043,1484,1600
"Ercc5",1392,718,1215,1368,1352,1452,979,1397,2039,2305,2670
"Col3a1",0,0,0,2,0,0,0,0,8,3,6
"Col5a2",0,0,0,0,0,0,0,0,2,0,0
"Wdr75",1238,837,1445,1191,1022,1301,828,1098,2710,2722,3152
"Gm5526",640,276,442,658,540,1049,647,960,1035,507,631
"Slc40a1",47,47,217,164,44,60,111,56,883,340,290
"Gm3852",0,0,1,0,0,0,0,1,2,0,2
"Dnah7b",0,0,0,2,0,0,1,0,0,0,0
"Dnah7c",2,0,14,2,0,2,0,1,4,3,6
"Slc39a10",632,432,760,671,644,746,406,447,828,1334,1002
"C230029F24Rik",0,0,0,0,0,0,0,2,0,1,0
"Cavin2",0,1,3,2,0,1,1,0,1,6,1
"Nabp1",7080,5059,7307,5988,6809,7245,3848,6051,6303,12140,9974
"Gm17767",3,8,9,5,18,14,16,16,19,34,23
"Myo1b",1,0,8,1,1,1,0,0,20,11,11
"Stat4",7486,3836,6185,7131,5375,7060,5813,4587,14111,18579,21563
"Gm3940",112,28,44,79,77,111,29,124,204,91,171
"Stat1",25175,10122,20670,19835,20130,28829,17177,18350,19942,27510,17873
"Gls",9008,6169,9246,8152,10189,10271,4879,7359,9260,15211,12335
"Nab1",14791,9338,14983,13145,14735,20759,9884,14522,10466,16803,14669
"Nemp2",3179,2112,3472,3440,3074,3374,2037,3804,3035,5941,5599
"Mfsd6",4798,2294,3439,3858,4031,5677,2993,3833,3820,5403,5378
"Inpp1",3123,1266,2185,2556,2696,3071,1749,2722,2659,3792,3435
"Hibch",563,349,557,532,546,775,577,636,883,1067,1036
"1700019D03Rik",52,42,69,55,65,105,96,82,220,244,198
"Mstn",0,0,1,0,0,0,0,0,1,1,0
"1700019A02Rik",5,3,2,2,5,5,0,3,11,8,2
"Pms1",758,438,785,713,727,794,452,660,1011,1437,1443
"Ormdl1",1690,962,1715,1728,1664,2592,1479,1676,3002,3359,2356
"Osgepl1",370,208,369,381,343,386,238,363,589,907,910
"Asnsd1",2516,1306,2375,2257,2356,3515,2038,2371,4667,5141,4818
"Dnah7a",0,0,0,0,0,0,0,0,8,1,0
"Stk17b",23059,13343,23167,23203,30552,30752,15878,20441,25363,31358,26982
"Hecw2",12,7,15,13,8,5,8,6,30,20,22
"Ccdc150",0,0,0,1,0,0,0,0,3,4,0
"Gtf3c3",483,280,527,441,426,506,237,397,639,1155,801
"Pgap1",94,61,98,95,95,86,51,65,1011,427,256
"Ankrd44",9534,5650,8977,8999,9150,9949,4865,6861,9637,16101,12721
"Sf3b1",26374,15465,27815,27576,27890,25529,15081,23661,39410,53608,49441
"Coq10b",576,386,585,591,627,736,377,550,948,1831,1357
"Hspd1",6966,4643,7997,7001,9193,9294,6287,6256,18537,13013,11256
"Hspe1",1851,964,1593,1893,2059,2733,1812,2123,6541,2912,3279
"Mob4",1555,1051,1827,1570,1799,1807,993,1399,2782,3178,2389
"Rftn2",24,23,21,22,26,42,31,34,133,91,92
"Mars2",370,157,232,344,343,377,200,373,651,632,704
"Boll",4,2,7,16,3,9,7,9,3,12,5
"Plcl1",203,105,177,231,205,255,151,185,286,503,455
"Gm6644",612,191,363,617,407,989,624,703,948,638,869
"Satb2",0,1,0,0,0,1,2,1,40,10,45
"9130024F11Rik",0,0,0,0,0,0,0,2,7,0,4
"4930558J18Rik",9,8,22,11,12,21,6,10,7,38,11
"1700066M21Rik",319,272,483,368,477,438,240,369,498,682,720
"Tyw5",369,206,505,396,425,465,244,441,778,900,1002
"Maip1",322,166,335,312,292,415,311,320,564,540,617
"Spats2l",0,2,1,2,3,3,0,0,0,23,8
"Kctd18",1306,777,1153,1328,1401,1311,761,1352,1524,2175,2688
"Sgo2a",234,272,475,257,147,271,115,194,404,809,489
"Aox1",0,0,0,0,0,0,0,0,0,0,4
"Aox3",0,0,0,0,0,0,0,0,1,1,0
"Aox2",1,1,0,3,0,2,0,0,2,0,0
"Bzw1",11324,6278,12130,10669,10476,13858,8254,9407,15382,19662,18675
"Clk1",9181,6334,10242,9584,11675,8463,4944,10073,19377,29649,35718
"Ppil3",1072,614,992,1006,1025,1456,948,1252,1912,1878,1977
"Nif3l1",448,212,379,472,300,499,297,320,971,1141,1310
"Orc2",1549,903,1464,1411,1382,2013,1081,1343,1824,2462,2619
"Gm15834",10,15,10,10,11,5,2,12,13,28,49
"Hycc2",533,407,706,604,699,546,225,465,747,1245,1328
"Ndufb3",994,430,694,980,1098,1587,1101,1336,2002,1395,1703
"Gm20257",189,68,224,182,153,187,141,295,205,377,428
"Flacc1",4,0,1,2,4,1,2,3,6,20,7
"Cflar",7212,3988,5558,6133,6955,7176,3218,5612,6079,8902,9742
"Casp8",4384,2524,4550,3837,3795,3954,2450,3947,4351,6997,6570
"Trak2",2960,1500,2533,2801,2743,3364,1784,2231,3913,5146,5739
"Stradb",337,189,323,367,377,589,372,417,661,729,792
"C2cd6",0,0,0,2,0,2,0,0,1,1,4
"Tmem237",287,190,392,319,279,482,335,401,833,930,1117
"Mpp4",16,17,38,28,24,20,4,21,28,45,65
"Als2",1832,1101,1777,1900,1743,2479,1064,1604,2026,2671,2958
"Fzd7",3,2,12,5,6,8,2,5,51,54,52
"Gm973",0,0,2,1,4,1,2,0,0,11,4
"Sumo1",3295,1537,3506,3099,3219,4822,2529,3116,5108,5194,5386
"Nop58",2870,1654,2755,2384,2333,3138,1948,2577,4999,4768,6689
"Snord70",4,0,2,4,1,2,0,1,6,15,12
"Snord11",0,1,2,0,2,0,0,2,1,6,11
"Bmpr2",13,11,25,12,10,34,6,11,86,66,49
"Fam117b",4218,1864,2988,3973,4087,5781,2941,3248,4644,5953,6395
"Ica1l",28,20,62,69,21,31,8,30,70,97,96
"Wdr12",400,231,356,343,298,504,415,357,1099,803,1080
"Carf",115,86,102,110,147,95,46,107,176,278,334
"Gm15464",98,15,30,53,63,140,36,122,233,43,154
"Nbeal1",478,326,446,551,522,491,134,280,652,910,1031
"Cyp20a1",307,237,465,305,226,371,272,346,611,757,856
"Abi2",864,471,936,837,863,1039,501,677,850,1269,1357
"Raph1",1015,606,939,874,965,1279,567,842,1441,2272,2951
"Cd28",22585,11212,18482,23801,27256,27096,12472,18384,19697,38921,45201
"Gm11579",71,41,102,112,87,56,18,53,59,259,254
"Ctla4",7654,3325,8133,7632,11328,6511,1932,6970,6476,16016,19180
"Icos",2177,1156,1942,2246,3338,3158,1472,2786,1960,3488,6008
"Pard3b",116,41,58,72,84,121,116,77,565,197,478
"Nrp2",16,13,43,17,23,15,25,33,182,110,55
"4930487H11Rik",0,0,0,0,0,0,0,0,3,2,0
"Ino80d",4923,2600,4176,5020,5134,5072,1685,3776,5870,8322,8710
"Ino80dos",116,106,185,152,156,125,98,149,139,212,341
"Gm20342",72,24,80,44,53,64,20,78,87,155,158
"Ndufs1",2559,1428,2436,2361,2261,2643,1696,2106,3521,4180,4960
"Eef1b2",11975,4665,9272,10721,10645,18146,14979,14594,31973,17493,25153
"Snora41",35,14,33,39,44,32,18,56,78,127,184
"Gpr1",0,0,0,0,0,0,2,0,1,1,0
"Adam23",7,1,10,7,0,0,0,1,196,5,7
"Fastkd2",379,256,385,422,313,425,207,344,955,1055,1238
"4933402D24Rik",0,0,0,0,0,0,0,0,0,1,0
"Klf7",213,125,173,179,178,169,62,219,220,370,562
"Creb1",3917,2369,3856,3914,4028,4373,2191,3131,5674,7642,6225
"Mettl21a",512,250,493,516,445,672,521,643,799,1152,1617
"2810408I11Rik",9,17,28,7,14,27,15,13,27,43,36
"Ccnyl1",276,162,323,266,266,293,143,251,525,747,960
"Fzd5",783,346,529,711,696,782,361,548,999,1099,1456
"Plekhm3",713,276,401,579,537,684,301,478,1823,1524,2307
"D630023F18Rik",1,0,0,0,0,0,0,0,0,2,2
"Idh1",222,159,250,283,340,363,288,293,835,981,960
"Pikfyve",986,590,938,882,1055,1095,464,868,2498,2734,3323
"Map2",2368,1644,3174,2762,3418,4354,1780,2742,2922,4391,4571
"Gm10558",8,2,12,4,4,10,4,21,7,16,23
"Unc80",1,0,0,0,0,0,0,0,0,2,2
"Rpe",1955,1273,2218,1911,2444,3112,1934,2017,2505,3010,2789
"Kansl1l",594,333,469,488,736,703,292,583,810,929,943
"Acadl",6070,4030,6027,4939,7023,8488,5526,7677,5953,6338,6338
"Myl1",0,1,38,1,0,6,0,1,2,0,0
"Lancl1",1256,445,781,1136,925,1336,928,1199,1580,1497,2057
"Erbb4",0,0,0,0,0,0,3,0,0,0,0
"Gm19335",0,0,0,0,0,0,3,0,0,0,0
"Ikzf2",1012,910,1261,1547,1155,1577,687,1105,8176,7054,1994
"Spag16",0,0,4,0,3,3,0,0,1,0,0
"Bard1",447,446,914,434,479,572,215,530,653,1187,590
"Atic",1745,1073,1778,1697,1547,2436,1675,1868,5114,4307,5381
"Fn1",19,4,0,11,6,18,14,1,1511,1284,2625
"Apol7d",0,0,0,0,0,0,0,0,0,1,0
"Gm5528",2,2,3,1,6,7,1,11,9,2,16
"Mreg",1,1,0,1,0,4,0,2,166,11,7
"Pecr",56,33,33,41,41,98,55,54,236,107,232
"Tmem169",1,1,0,4,1,1,2,1,10,29,21
"Xrcc5",1425,733,1260,1312,1087,1767,971,1171,2278,2612,2824
"Marchf4",1,0,0,0,3,2,0,1,2,3,0
"Smarcal1",1424,523,953,1232,1001,1513,946,1152,2026,2178,2407
"Ankar",0,0,0,1,0,0,0,0,0,0,0
"Rpl37a",14107,3756,7252,13485,13277,24532,17867,20578,47874,17615,25306
"Tns1",7,3,6,21,7,6,20,6,209,63,94
"Rufy4",0,0,0,0,0,0,0,0,5,5,21
"Cxcr2",1,0,1,0,0,1,0,0,505,298,405
"Cxcr1",0,0,0,0,0,0,0,0,6,2,6
"Arpc2",22827,12790,22483,20237,20566,30148,18889,22494,28056,33520,30678
"Gpbar1",5,0,2,1,1,1,2,3,7,6,12
"Aamp",4356,1635,2593,3923,3381,5423,3162,4252,5857,5258,5973
"Pnkd",470,142,267,398,306,630,318,520,872,805,769
"Tmbim1",528,183,310,416,317,624,365,528,995,1039,1096
"Catip",0,0,0,1,0,2,0,0,6,17,3
"Slc11a1",13,6,32,30,10,5,5,9,421,281,237
"Ctdsp1",6404,2071,3411,5137,4019,7023,3420,4851,6060,6048,6859
"Mir26b",3,2,4,4,2,1,1,4,6,12,7
"Vil1",0,0,2,3,1,1,0,1,17,14,18
"Usp37",1270,854,1372,1161,1398,1410,726,1166,1802,2623,2198
"Cnot9",1995,1005,1990,1761,1718,2660,1441,2068,2555,3274,2912
"Plcd4",59,35,44,53,47,39,22,40,45,66,99
"Zfp142",2915,1046,2015,2449,2054,2437,1181,2317,2623,3531,3841
"Bcs1l",339,158,273,292,297,414,280,389,467,541,531
"Rnf25",1144,484,709,950,1049,1110,656,1176,1628,1412,1504
"Stk36",1,2,2,8,2,2,0,3,5,4,4
"Ttll4",960,422,675,829,757,752,289,750,1553,1759,1872
"Cyp27a1",2,2,4,4,4,4,0,6,505,98,137
"Wnt6",0,0,0,0,0,0,1,0,0,2,0
"Wnt10a",0,0,0,0,0,0,0,0,11,2,4
"Cdk5r2",0,0,1,0,0,1,0,0,2,2,2
"Cfap65",0,1,0,0,0,0,0,0,2,0,0
"Ihh",4,1,1,1,2,0,3,6,11,3,6
"Nhej1",55,31,47,52,58,82,67,90,182,144,194
"Slc23a3",12,9,1,5,5,5,3,8,71,53,52
"Cnppd1",4453,1587,2351,3636,3587,4994,3089,4406,6653,5929,8335
"Retreg2",2937,1081,1841,2693,2403,3645,2321,3096,4896,4152,5026
"Zfand2b",497,248,452,530,421,672,417,616,1217,974,1365
"Abcb6",113,41,112,97,64,128,89,121,283,265,350
"Atg9a",738,308,500,590,628,743,437,787,1203,1365,1675
"Ankzf1",863,330,516,696,753,674,405,810,1443,1722,1950
"Glb1l",187,90,157,184,178,114,108,209,207,460,510
"Stk16",1128,447,737,977,981,1280,810,1271,1743,1747,1926
"Tuba4a",3136,1075,2389,3074,2490,3647,1845,2548,5199,6127,7464
"A630095N17Rik",0,1,0,0,0,1,0,1,0,0,1
"Dnajb2",397,71,171,254,309,425,247,390,1394,883,1246
"Ptprn",4,2,3,3,6,10,8,11,25,13,49
"Dnpep",1148,413,726,1073,899,1628,1024,1291,1996,1684,1877
"Des",0,0,0,0,0,0,0,1,1,1,3
