"","CND1_1","CND1_2","CND1_3","CND1_4","CND2_1","CND2_2","CND2_3","CND2_4","CTRL_1","CTRL_2","CTRL_3"
"Xkr4",0,0,0,0,0,0,0,0,0,0,0
"Rp1",0,0,0,0,0,0,0,0,0,0,0
"Sox17",0,0,0,0,0,0,0,0,0,0,0
"Mrpl15",31.2575656718789,32.1808037331085,34.7090542915001,28.5576743173116,31.2821968389279,34.7797732368292,31.386517204939,33.493025175713,42.6441827266082,33.0396006972526,30.3271126981794
"Lypla1",11.7888537987269,25.2478758437576,21.3614349994928,13.8634037851335,15.987418431976,13.4115635621372,12.2723934613814,11.3635817884543,10.8262947039148,15.3407181812601,9.90399212812359
"Tcea1",42.8321363646928,76.7640605055981,70.3616135460928,48.5033792314623,55.8244524200124,47.4373491257336,39.9110309240036,36.7567794435388,47.1760246059072,52.3347180362595,38.6052812630783
"Rgs20",0.0147746770724354,0.0234563211026061,0.00907377047500452,0.0170577391956963,0.0075069007276197,0.0114177183615899,0,0.00828602176873405,0.037735617108624,0.139286764690929,0.184952221781512
"Atp6v1h",10.3361752531949,17.4400810269276,15.9204007001076,11.7005506183166,12.8800011141533,11.4757516360179,12.5100390428557,10.9072896453211,11.5553049614171,12.6790282337676,12.051663439643
"Oprk1",0.0192304256988256,0,0,0,0,0,0,0.0188736118608375,0,0,0
"Npbwr1",0,0,0,0,0,0,0,0,0,0,0
"Rb1cc1",10.8716001158204,20.1052029846312,16.9658115256741,13.1463184953118,14.932300884233,9.18281883137307,6.6357933113972,8.40643000726853,12.7045895592912,19.8400239459201,14.7624297415755
"Alkal1",0,0,0,0,0,0,0,0,0.0310478890554146,0,0
"St18",0.000907670329671629,0.00252178518396606,0.001300692741286,0,0,0.00210431486357769,0.00113313690490106,0,0,0,0
"Pcmtd1",14.3035801465778,21.7945390951943,18.6665451106436,15.6354497971824,18.0732244061727,13.2569645368185,10.7329620299206,10.7683704510793,12.9646695508899,17.0368967166672,14.4607802455038
"Sntg1",0,0,0,0,0,0,0,0,0,0,0
"Rrs1",159.830706611342,219.498337258144,167.327992414026,158.904941417594,122.135735337247,131.067251277937,116.411409036775,137.683671265857,191.668928008487,138.96798687637,156.718013656358
